施設名,ラウンジ形態,媒体,総合スコア,投稿日,宿泊日,プラン名,喫食,客室,利用人数,年代,性別,目的,同伴者,レビュータイトル,レビュー本文,客室、アメニティ,施設、設備,接客、サービス,お食事,温泉、お風呂,満足度
インターゲート京都,宿泊者全員,一休,5.00,2024/6/24,2024/6/11～,,朝食付,【禁煙】デラックスツイン,2名 1室,,,,,サービス最高！,娘の誕生日で一泊させていただきました！簡単な飾り付けをお願いしたのですが、とても素敵な飾り付けをして頂き娘も泣いて喜んでました！最高の誕生日になりました！ また来年の24歳の誕生日にも是非宿泊させて頂きます！ありがとうございました！,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/3/25,2024/3/22～,,朝食付,【禁煙】デラックスツイン,3名 1室,,,,,ホテルでも楽しむ,以前宿泊してから、お気に入りで何度か利用しています。ラウンジのサービスがよいので、旧友との同窓会旅行で利用したいと考えていて、やっと訪問できました。お部屋も落ち着いていて素敵なのですが、快適なラウンジで過ごすことが多かったです。観光から戻り、ラウンジで飲みながら一日の振り返りをして笑い合ったり、ほんとうに楽しい時間を過ごせました。ありがとうごさいます。また利用しますね。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/3/2,2024/2/4～,,食事なし,【禁煙】スーペリアハリウッドツイン,2名 1室,,,,,ラウンジがとても良い！,連泊したのですが、 ラウンジのメニューも日替わりで とても美味しかったです。 また今月京都に行くので予約しました。 楽しみです！！,5,5,5,,5,5
インターゲート京都,宿泊者全員,一休,4.50,2025/4/30,2025/4/24～,,食事なし,【禁煙】コネクティング スーペリアツインルーム,4名 1室,,,,,コネクティングルームが女子旅4名にぴったり,学生時代からの友人4名での旅。ひと部屋で4人滞在するより、ふた部屋のコネクティングルームが快適な滞在のキーポイントでした。それぞれのお部屋もゆとりのある広さで、早起き組とお寝坊さん組で分かれましたが、大浴場もあるので、びしょびしょのお風呂に入る必要がなくこれも快適な理由でした。ただ、外国人宿泊者が多く、初日のお風呂場では、私達の感覚では信じられないような使いっぱなしの荒れた洗い場を経験し、見るに見かねて友人と二人で簡単にかたづけました。翌2泊目にはそのような場面に出会いませんでしたが、、お部屋から大浴場までの動線がフロントエリアを通らず行けるようになっているのは、よく考えられていると思いましたが、お構いなしで、フロント、ロビー、ティータイムやハッピーアワー会場に移動している、これも外国人宿泊者が散見されたのは残念でした。,4,5,5,4,4,5
インターゲート京都,宿泊者全員,一休,4.67,2025/4/8,2025/1/18～,,朝食付,【禁煙】インターゲートツイン新町通側（24平米）,2名 1室,,,,,ゆったりとした時間,インターゲートブランドのホテルを利用するのは、これで3件目です。これまでのインターゲートホテルは、とにかくお客さんが多くて、カクテルタイムも夜食も朝食も、ごった返して慌ただしい状態でした。こちらの京都店もそのような状態と覚悟して伺いましたが、全く異なりました。全体的に落ち着いており、お客さんの数も程よい混み具合でした。時期によっても違うのでしょうが、ゆったりとした滞在ができました。価格帯がやや高めの設定な分、その価値はあると思います。 特に良かったのは大浴場です。皆さんあまり利用しないのか、混むことなくゆったり利用できました。旅の疲れが取れます。 朝食も激混みの他店とは比べ物にならないほど、のんびり食べられました。朝からスパークリングワインも楽しめ、素晴らしい1日のスタートを切れます。 周辺には飲食店も多く、百貨店までも徒歩圏です。観光の拠点として、また食べ歩きにも適したホテルです。オススメです。,5,4,5,4,5,5
インターゲート京都,宿泊者全員,一休,4.67,2025/4/30,2025/4/26～,,朝食付,【禁煙】インターゲートツイン新町通側（24平米）,2名 1室,,,,,連泊に丁寧な対応,前日まで友人達と4名で宿泊、この一泊は自分の従姉妹とのツインルームでと、お部屋が替わりましたが、きちんとしたホテル並みに私の荷物は替わったお部屋に移動してくださっていました。一休サイトではビジネスホテルとなっていますが、いわゆるビジネスホテルよりは十分なサービスがされているとの印象で、気持ち良く滞在できました。,4,5,5,4,5,5
インターゲート京都,宿泊者全員,一休,4.67,2025/1/6,2025/1/4～,,食事なし,【禁煙】デラックスツイン（35平米 バス・トイレ別）,3名 1室,,,,,ブッフェ,京都ならではの鮮やかなお野菜が多くて感動しました。ホットのお料理が、お肉が沢山食べたい方向けではありません。私は、主人と又行きたいと思ってしまいました。 スムージーも、朝1時間の中ではありましたが、作って下さり、有り難い事でした。夜は、ワインが飲める時間帯があり、驚きました。セキュリティも、工夫されていました。,4,5,5,5,4,5
インターゲート京都,宿泊者全員,一休,4.67,2025/1/28,2025/1/24～,,朝食付,【禁煙】デラックスツイン（35平米 バス・トイレ別）,3名 1室,,,,,京の冬旅,期待以上 挽きたてコーヒー とても美味しかったです ラウンジ利用は有り難かったです 朝食もどれも美味しく 苺もあって大満足 またお伺いします お世話になりました,5,4,5,5,4,5
インターゲート京都,宿泊者全員,一休,4.83,2025/3/15,2025/3/13～,,朝食付,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,満足でした。,ホテルインターゲート梅田に何回か泊まらせていただき、とてもよかったので、京都も期待して泊まりました。予想どおり、スタッフさんの対応はじめ、部屋、設備、ラウンジお風呂よかったです。朝食も美味しかったです。よくを言えば、お風呂の脱衣所に、脱ぎ着する時にちょっと座れる椅子が2、3個あれば、よかったと思いました。 快適に過ごさせていただきました。ありがとうございました。,5,5,5,5,4,5
インターゲート京都,宿泊者全員,一休,5.00,2025/7/1,2025/6/26～,,朝食付,【禁煙】スーペリアクイーン（20平米 ベッド幅160cm）,1名 1室,,,,,快適な滞在,凄く気に入りました。 場所も良くて、近くの居酒屋も良かった。朝食も素晴らしく、一日中プレゼンテーションがあり至れり尽せりのサービスに感動しました。 とても快適に過ごせました。 次も又お世話になりたいと思います。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.67,2025/1/6,2025/1/4～,,朝食付,【禁煙】コネクティング スーペリアツインルーム,3名 1室,,,,,よく健闘しているホテルです,前の印象がよかったため、今年もお世話になりました。 ラウンジのアルコール、おつまみ？お菓子など少しレベルが下がったようにおもいます。 ぶぶ漬けは、美味しくいただきました。 もう少し出汁があたたかいともっと美味しかったと思います。 コーヒーは、美味しかったです。 翌朝のラウンジの男性の明るい笑顔で、少しの不満も帳消しになりました。 雰囲気のある、コスパのいいホテルなので、次回もお世話になる予定です。 これからも奮闘を期待しています。,5,5,5,4,4,5
インターゲート京都,宿泊者全員,一休,4.83,2025/2/3,2025/2/1～,,朝食付,【禁煙】デラックスツイン（35平米 バス・トイレ別）,3名 1室,,,,,充実したラウンジと快適な洗い場付きバスルーム,家族で記念旅行時にお邪魔しました。ホテルの方からお心遣いをいただき、家族で感激でした。 夏に主人と二人で泊まったツインルームより三人で泊まった今回は洗い場付きのバスルームやクローゼットが使い勝手が良かったです。ただ、お部屋のバスルームのドア部分など汚れが溜まりやすい部分に汚れがあり、こまめに清掃頂ければなあと思いました。 大浴場は市街地のため露天風呂はないものの、toiletとバスタブが同室の部屋タイプであれば特に利用する価値があると思います。夜に伺った時は空いていましたし清掃も万全でしたが、大きな男の子連れの家族が身体を洗わなずいきなり入浴していて早々に退出しました。 ラウンジは、ゆったりした空間で素敵です。時間ごとに簡単なお菓子やアルコール、お茶漬けなどが宿泊者に提供され、チェックイン時や夕食の前後に活用させていただきました。 残念なのは、ラウンジで食事をすませるつもりの（？）グループが数組いたらしく、お菓子やスナックが来るやいなや大量に奪い合う殺伐とした光景を家族が見かけたそうです。美味しいお店が徒歩圏内にも沢山あるのでお互いに旅を楽しめる穏やかな雰囲気で過ごせれば良いのにと感じました。 朝食タイムは有料ということもあってかそれほど混み合わずゆったりした良いムードでした。チョコレートファウンテンや進々堂のパンなど大人から子供まで楽しめるメニューで娘も喜んでいました。 外国からの宿泊客も多くお忙しい中、フロントやラウンジのスタッフの皆さん今回もちょうど良いホスピタリティでお仕事されていて気持ち良いサービスでした。 また京都に行く際は利用したいホテルです。,5,5,5,5,4,5
インターゲート京都,宿泊者全員,一休,4.67,2024/10/28,2024/10/25～,,朝食付,【禁煙】スーペリアツイン新町通側（24平米）,1名 1室,,,,,朝食おいしかったです,野菜中心の朝食がおいしくて、つい食べすぎてしまいました。夜食のぶぶ漬けも美味しかったです。 大浴場も気持ちよかったです。,4,5,4,5,5,5
インターゲート京都,宿泊者全員,一休,4.33,2024/11/25,2024/11/22～,,朝食付,【禁煙】スーペリア ハリウッドツイン（23平米）,4名 2室,,,,,アフタヌーンティー、ハッピーアワー、ナイ...,アフタヌーンティー、ハッピーアワー、ナイトラウンジと、とっても楽しめました。席もゆったりと座れて、旅の疲れを癒すことができました。街の景観問題もあるのかなあ？と思いますか、窓から外の景色が全く見えなくて圧迫感があったのが残念でした。,4,4,5,5,4,4
インターゲート京都,宿泊者全員,一休,5.00,2025/3/22,2025/3/20～,,食事なし,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,静かで快適,静かで部屋が広く、清潔で、アクセス良好。また、利用したい。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.50,2024/7/15,2024/7/10～,,朝食付,【禁煙】スーペリアツイン新町通側,2名 1室,,,,,使い勝手の良いホテルでした,祇園祭の山鉾を建てるのを観るために宿泊しました。歩いて数分で組み立てからお囃子の演奏まで堪能する事ができて楽しかったです。ホテルは3泊しましたがコンパクトで使い勝手がとても良かったです。ちょうど舞妓さんのイベントがあったので参加させていただきました。舞妓さんあんなに近くで観れてうれしいかったです。まわりは観光地ではないけど、錦市場も歩いて行けるし想像よりも観光に便利でした。 朝食のバイキング品数は多くはないけど、とても丁寧に作られていると感じました。ハッピーアワーはおつまみがクラッカー等なので少し口淋しいかもしれません。また機会があったら利用したいです。,5,4,4,4,5,5
インターゲート京都,宿泊者全員,一休,4.67,2024/8/5,2024/8/1～,,食事なし,【禁煙】スーペリアハリウッドツイン,2名 1室,,,,,ラウンジが使いやすい,広島のインターゲートがとても良かったので京都を初めて利用しました。広島はフロントやラウンジが上層階にあり、広々していましたが京都は一階でラウンジも少しこじんまり。混みそうだな？と思ったら意外にも、週末の朝ごはんすら混みすぎずでゆったりできました。京都は観光のためあまりホテルでのんびりする人がいないのかと思い、であればフロントやラウンジが一階にあるのは便利さしかないと思いました。 こちらはラウンジの食事が郷土色が強く厳選された品がいずれも大変美味しいです。お茶漬けタイムも夕食後お腹いっぱいでもつい食べられましたし、朝ご飯はおばんざいがお野菜たっぷりで本当に美味しかった。スパークリングワインまで飲めるので帰るだけの土曜日、のんびり朝ごはんを楽しめました。 お部屋は窓がすりガラスなので閉塞感はありますし棚がないので荷物の片づけづらさはありますが、お掃除がしっかりされていて快適です。 お風呂は内風呂が一つだけなのですが、こちらも早い時間だとあまり混まず清潔に保たれていました。温泉ではないので、消毒液のような香りが一瞬しますがすぐに慣れました。 最近ホテルマンの人が一人何役もするホテルが増えていると聞きますが、こちらもフロントとラウンジで同じ人を3日間何度もみました。お疲れさまです。前泊したホテルのスタッフさんがホテル自体とても良いのにみんな画一的というか表情がなく活気にかけたので、ちょうどよく血の通った個性の感じられる雰囲気で良いと思いました！,4,5,5,5,4,5
インターゲート京都,宿泊者全員,一休,4.83,2024/9/24,2024/9/22～,,夕朝食付,【禁煙・1泊2食】スーペリアツイン（24平米）,2名 1室,,,,,京都にふさわしい雰囲気で満足！,門構えは京都を醸す呉服問屋風の雰囲気があり、中に入れば清潔感溢れた上品なホテルでした。ウェルカムドリンクから時間を区切ってのイートサービスは素晴らしい。スタッフの対応も申し分なく、宿泊費と比較しても、また利用したくなるような気持ち良いホテルでした。,5,5,5,5,4,5
インターゲート京都,宿泊者全員,一休,5.00,2024/12/23,2024/12/20～,,朝食付,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,大満足な滞在でした,モーニングは色々な野菜を使ったおばんざい風なメニューと進々堂のパン、無料のおやつもぶぶ漬けも美味しく頂きました。宿泊している人が何となく集まってくつろいでいる空間がとても良いです。お風呂も広くてゆっくり入れましたし、繁華街も近く全てが良かったです。ホテルの方にもとても親切にして頂きました。また京都に行く時はこちらを利用したいです。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/12/16,2024/12/12～,,朝食付,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,2度目の利用ですが、夕方からのワッフルや...,2度目の利用ですが、夕方からのワッフルやスコーン フリードリンク そして20時からのぶぶ漬け どちらもとても満足できました。お昼をしっかり摂っていたので、夕食を兼ねてこちらのコーナーを利用させて頂きました。又京都に来た時には利用したいと思います。一緒に行った妹も喜んでいました。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/12/13,2024/12/11～,,朝食付,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,快適です！,京都に住む娘と、ホテルに宿泊しました。 条件が大浴場付きで探しましたが、文句なし 。アメニティーも充実。シャンプーも数種類うります。そして、適温で清潔感もあり。 お部屋も広くてきれいです。 特にラウンジも心地よいサービスを提供してくれます。 朝食は野菜中心種類も豊富で優しい味。大満足。 ちなみに、夕方ラウンジで食べた豆乳クリームチーズは絶品。 フロントの方も大変親切に道など教えていただき分かりやすい説明でした。 ここ最近で宿泊したホテルの中で1番おすすめです。 次回もこちらに宿泊したいです。ありがとうございました！！,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/12/26,2024/12/18～,,朝食付,【禁煙】スーペリア ハリウッドツイン（21～23平米）,2名 1室,,,,,舞妓さんイベント,マッサージチェアが今まで使った中で1番気持ちよかったです。新しいホテルなのでマシーンも最新だったのでしょうか。マッサージチェアは人気で空き待ちでしたが、横のソファを使う方はいなかったので、そのスペースを全部マッサージチェア置いてほしいなと思いました。大浴場のシャンプーバーはいろいろ試せてよかったです。夜のスパークリングワインとヨーグルトとグァバのカクテル、お茶漬けの出汁が美味しかったです。朝ごはんも野菜がたくさんあって味も美味しかったです。たまたま月1の舞妓さんイベントのある日で和蝋燭の灯りで見る舞妓さんはすごくきれいで参加してよかったです。日本人ですがあまり舞妓さんのことを知らなかったので海外の方向けに英語で説明されるのが日本語より詳しくて分かりやすかったです。関西圏に住んでいるので京都観光はせずに、ホテル近くの有名な拉麺屋さんとかき氷屋さんを楽しんで、後はまったりとホテルのラウンジでおしゃべりしてお風呂入ってマッサージチェアして最高でした。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2025/1/21,2025/1/18～,,朝食付,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,満足な宿泊でした,法事があり京都に行きました。こちらは今回で2回目の利用です。値段はお手頃で、その上ラウンジサービスや大浴場があり、大変満足しました。また次回もこちらに宿泊させていただきます。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.83,2024/8/15,2024/8/10～,,食事なし,【禁煙】スーペリアツイン新町通側,2名 1室,,,,,ラウンジが最高でした！,金沢に続き、2回目の宿泊でしたが、今回も快適に過ごさせていただきました！ お部屋もキレイで、大浴場も使い勝手が良く、なんといっても、アフタヌーンティーからハッピーアワー、お夜食のぶぶ漬け、朝のスムージーと、時間によって、いろいろと楽しませていただけるラウンジが最高でした！ スタッフの皆さんもとても親切でした！ また機会があれば、利用させていただきたいです。ありがとうございました！,4,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/12/11,2024/12/8～,,食事なし,【禁煙】スタンダートツイン（22平米 ベッド幅110cm）,2名 1室,,,,,とても良かったです,とても良かったです。 遅い到着だったのでお茶漬けサービスだけ利用しましたが、食材は常に補充されお味も美味しかったです。 お部屋も清潔で快適に過ごせました。 カップ、電気ポットなど、備品は収納されていてスッキリしていて良いです。 居心地が良いので短時間の滞在では勿体無い。 次回は早く到着してカフェタイムも楽しみたいと思います。 お世話になりました。,5,5,5,,5,5
インターゲート京都,宿泊者全員,一休,4.17,2025/1/4,2025/1/2～,,朝食付,【禁煙】デラックスツイン（35平米 バス・トイレ別）,4名 1室,,,,,優良なホテル,お客様への対応もホテルのサービスも大変良かったです。また泊まりたいホテルです。,4,4,4,5,4,4
インターゲート京都,宿泊者全員,一休,4.67,2024/5/24,2024/5/22～,,朝食付,【禁煙】コネクティングスーペリアツイン,3名 1室,,,,,これからもぜひお世話になりたいホテルです,広島で利用した時に対応が良かったので、今回京都のインターゲートホテルを利用させて頂きました。海外からの観光客の方もたくさん利用されていました。日本のおもてなしの心と京都らしさのどちらも感じられるとても居心地の良いホテルなのできっと人気なのだと思いました。電車でのアクセスも良いし、とても清潔で朝ごはんも沢山の種類があってどれも美味しかったので、どうせなら来年もここに泊まろうねと決めました。お世話になりました。,4,5,5,5,4,5
インターゲート京都,宿泊者全員,一休,5.00,2024/12/8,2024/12/6～,,朝食付,【禁煙】スーペリア ハリウッドツイン（21～23平米）,2名 1室,,,,,部屋、大浴場、ラウンジのサービスとも申し...,部屋、大浴場、ラウンジのサービスとも申し分なし。フロントの対応も親切丁寧で好印象。朝食も種類が多く大変美味しかった。ラウンジでのアルコール等のサービスも至れり尽くせり。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/12/11,2024/12/7～,,食事なし,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,昨年は広島のインターゲートに泊まりました...,昨年は広島のインターゲートに泊まりましたが、京都は大浴場も広く、フロントも１Ｆなので快適でした。 京都旅行の時はぜひまたインターゲートに泊まります。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.60,2025/2/9,2025/2/2～,,食事なし,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,良い感じです。,日曜の宿泊。宿もこじんまりとしており、全体に落ち着いた雰囲気です。様々なラウンジサービスがあります。残念ながら時間の関係であまり利用できませんでしたが、一息付ける場所があるのは嬉しいですね。ただ、コンビニ持ち込み食品で飲み会状態になるのはちょっと。。。。 大浴場も観光で疲れた足には有り難いです。又機会があれば宿泊したいと思うお宿です。,4,5,5,,4,5
インターゲート京都,宿泊者全員,一休,4.50,2024/5/10,2024/4/28～,,朝食付,【禁煙】スーペリアダブル,1名 1室,,,,,あれ？と思った事,一人で大きなベッドで ゆっくりできました。 夏日の京都散策の後で チェックインだったので 部屋でシャワーを浴びて 出かけよう～と 入ったのですが 部屋に シャンプーなど置いてなく ハンドソープだけでした。 アメニティは アメニティバーから持参でしたが シャンプーもだったか？と。 大浴場もあるし 大浴場にしかなかったか？とも思いましたが 以前 宿泊した時はありました。 キレイに清掃され 軽食などちょっとした気遣いもあり いろいろお得感もあり 過ごしやすいホテルです。,4,4,5,4,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/11/2,2024/10/28～,,朝食付,【禁煙】インターゲートツイン新町通側（24平米）,2名 1室,,,,,快適でした,ホテル、お部屋はとても綺麗でスタッフは皆さん親切で大変よかったです。 朝食も美味しく、ラウンジまでありました。 また機会があれば泊まりたいと思います。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.83,2025/6/18,2025/6/16～,,朝食付,【禁煙】スーペリアクイーン（20平米 ベッド幅160cm）,1名 1室,,,,,心地よいホテル,月曜日に宿泊したこともあり、程よい混み加減で静かに過ごせました。 朝食も美味しくスタッフの方々も、いい距離感だと思います。ただホテルの場所が目印が無く少しわかりにくいです。,5,5,4,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2024/10/29,2024/10/26～,,朝食付,【禁煙】スーペリア ハリウッドツイン（23平米）,2名 1室,,,,,２回目の利用です,前回、お風呂も綺麗だし、朝食も美味しいし、宿泊者向けのサービスが行き届いていたので、また利用しました。 マッサージチェアの調子が悪く、使えなかったのが残念なくらいです。また利用したいです。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.83,2024/6/27,2024/6/25～,,朝食付,【禁煙】スーペリアツイン,2名 1室,,,,,良い宿,平日だったのでお値段もリーズナブルなプランで泊まれて満足です。お部屋も清潔だったし、ラウンジも夜のお茶漬けサービスが良かったし、大浴場も充分な広さでさほど混み合わず、ゆっくりできて良かったです。チェックイン時のスタッフが早口だったのが少し残念だったぐらいです。（これは人にもよると思います）機械でチェックイン・アウトはビジネスホテルでは主流ですが慣れていない旅行者も中にはおりますのですこし丁寧な説明があれば最高に良いとおもいます。全体の印象は星5つです！安いプランがあればまた利用したいです。,5,5,4,5,5,5
インターゲート京都,宿泊者全員,一休,4.00,2025/1/2,2024/12/27～,,食事なし,【禁煙】コネクティング スーペリアツインルーム,4名 1室,,,,,使い勝手最高のホテル,4回目位の宿泊になります。 高齢の両親と主人と４人旅行でしたので、ツインのコネクティングルームを予約しました。両親との旅行は、ツインでは不安がありコネクティングルームのある、こちらのホテルはとても助かりました。 お部屋もゆったりとしているので、荷物を広げるにもストレスなく行えます。 お風呂は大浴場があり、脱衣所も清潔で広々しているので部屋のユニットバスを使わずに済み、これまた楽で助かります。 また時間毎にラウンジでのドリンクサービスなどがあり、京都の夜を満喫してからの、ぶぶ漬けサービスは二夜とも利用させていただきました。お出汁のお茶漬け最高でした。 スタッフの方の教育も行き届いており、皆様気持ちのよいサービスをしてくださいました。 とてもコストパフォーマンスの良い宿として、京都では一推しです。,4,4,4,4,4,4
インターゲート京都,宿泊者全員,一休,4.80,2024/4/8,2024/4/5～,,食事なし,【禁煙】スーペリアダブル,2名 1室,,,,,素晴らしい,桜満開の週末にこのサービスをこの価格で受けられるなんて素晴らしいです。大浴場がとても清潔で湯加減も良く疲れた体が癒されました。朝食券が無いと10時半まで部屋持帰りであってもコーヒーが頂けなかったのだけが残念でしたが満足度高し。ありがとうございました。,5,5,4,,5,5
